Sl. No.,India/State/UT,Total Number of - Schools,Total Number of - Enrolments,Total Number of - Teachers,Percentage Share of Schools by Category - Primary,Percentage Share of Schools by Category - Upper Primary,Percentage Share of Schools by Category - Secondary,Percentage Share of Schools by Category - Higher Secondary,Percentage Share of Enrolments by level -  Primary ,Percentage Share of Enrolments by level -  Upper Primary ,Percentage Share of Enrolments by level - Secondary,Percentage Share of Enrolments by level - Higher Secondary,Percentage Share of Teachers by School Category - Primary,Percentage Share of Teachers by School Category - Upper Primary,Percentage Share of Teachers by School Category - Secondary,Percentage Share of Teachers by School Category - Higher Secondary
1,India,1471891,248045828,9807600,50,29.4,9.8,10.8,48.7,25.4,14.9,10.9,24,28.6,16.2,31.1
2,Andaman and Nicobar Islands,412,72119,5750,50.7,19.2,13.1,17,46.1,23.6,15.9,14.4,17.3,16.9,17.5,48.3
3,Andhra Pradesh,61373,8741885,338293,61.5,13.5,18.9,6.1,46.1,25.7,16.5,11.6,28.6,14,42.7,14.7
4,Arunachal Pradesh,3490,323717,24700,48.6,36.8,9.5,5.2,53.7,24,13.4,8.9,19.1,42.6,20.6,17.6
5,Assam,56630,6922533,342199,66.2,16.7,12.5,4.7,53.4,25.1,14.3,7.2,32.6,20.5,29.1,17.8
6,Bihar,94686,21348149,657063,44,42.7,2,11.2,54.1,26.4,11.7,7.7,23.9,54.7,3.2,18.2
7,Chandigarh,230,265706,10237,6.1,18.3,30.4,45.2,45,23.9,15.3,15.8,2,7.5,26.2,64.4
8,Chhattisgarh,56615,5776548,278798,57.3,29.3,4.8,8.6,50.7,25.3,14.3,9.7,31.1,30.6,7.3,30.9
9,Dadra and Nagar Haveli and Daman and Diu,432,141282,4995,37.5,40.5,8.8,13.2,50.9,25.1,15.5,8.4,13.2,37,10.7,39.1
10,Delhi,5497,4506578,160479,45.1,14.7,6.2,34,44.6,25.9,16,13.5,16.2,7,5.3,71.5
11,Goa,1487,304735,14594,58,5.2,28.4,8.4,48.5,23.7,15.1,12.8,20.4,4.4,53.2,22
12,Gujarat,53626,11496709,394053,25.2,50.4,8.3,16,48.6,27.6,14.9,8.9,8.6,56.1,6,29.3
13,Haryana,23517,5599742,250909,41,21.2,11.8,26.1,45.6,26.6,16,11.8,16.4,13.6,11.4,58.6
14,Himachal Pradesh,17826,1426412,101131,60.8,14,10,15.2,47.9,23.4,15.6,13.1,21.5,10.9,16.9,50.7
15,Jammu and Kashmir,24296,2629949,167046,43.7,37.8,13.2,5.3,56.2,21.5,13.1,9.2,17.7,36.5,26.2,19.5
16,Jharkhand,44475,7143255,206591,52.5,36.1,7.3,4.1,50.9,26.5,13.5,9.1,22.7,41.5,17.5,18.2
17,Karnataka,75869,11926303,433942,30.9,40,21.5,7.6,46,26.5,17.3,10.2,10.9,34.2,38.7,16.2
18,Kerala,15864,6281704,291096,40.4,28.1,12.5,19,46.3,23.7,15.8,14.2,15.9,20.8,14.6,48.7
19,Ladakh,995,56642,6432,39.4,44,11.5,5.1,58,20.5,14,7.5,14.6,42.6,26.4,16.4
20,Lakshadweep,37,12591,911,40.5,24.3,0,35.1,51.5,22.1,13.3,13.1,24.9,24.6,0,50.5
21,Madhya Pradesh,123412,15361543,639525,49.4,35.7,6.7,8.2,51.2,25.9,13.9,9,21.2,37.9,11.6,29.4
22,Maharashtra,108237,21375970,738114,46.1,27,16.5,10.4,44.2,25.9,16.9,13,18.9,27.1,25.1,28.8
23,Manipur,4646,647434,40921,52.7,20.3,20.8,6.2,55.3,21.7,13.1,9.8,21.6,19.1,36.9,22.4
24,Meghalaya,14601,1052884,55726,62.7,24.2,10.2,2.9,63.9,20.6,10.4,5.1,42.5,26.9,19.9,10.7
25,Mizoram,3941,293763,23013,37.2,38.9,18.3,5.7,55.9,22.2,13.6,8.3,25.1,46.2,19.3,9.4
26,Nagaland,2725,412975,32602,41.8,28.7,21.4,8.1,56.6,21.3,12.9,9.2,20.2,26.1,30.7,22.9
27,Odisha,61693,7756910,335496,46.4,33.8,15.3,4.5,44.7,27.6,16,11.7,21.4,37.5,29.2,11.9
28,Puducherry,735,244828,13202,37.1,9.4,25.2,28.3,46.2,23.5,16,14.3,14,5.9,22.9,57.3
29,Punjab,27404,5988681,273092,49.1,16.9,14.6,19.3,52.1,21.9,13.8,12.2,19.7,9.8,18.9,51.5
30,Rajasthan,107757,16786065,775745,35,32,6.8,26.1,49.6,24.7,14.5,11.2,10.8,28.8,9.2,51.2
31,Sikkim,1254,121395,15489,53.3,25.1,11.5,10.1,50.8,21.3,14.9,13,22.8,25.1,19.7,32.4
32,Tamil Nadu,58722,12993050,550558,57.9,17.1,9.7,15.3,45.7,24.6,15.9,13.8,20.6,13.2,12.5,53.8
33,Telangana,42901,7293644,341460,47.9,17.4,27,7.7,47.8,25.2,15.3,11.8,14.3,16,52.7,16.9
34,Tripura,4923,689408,37661,50.2,25.3,13.6,10.8,48.4,25.2,14.6,11.8,20.5,20,21.8,37.6
35,Uttar Pradesh,255087,41662794,1538479,52.3,34,4.7,9,49.4,25.4,13.7,11.5,36.6,34.1,5.6,23.7
36,Uttarakhand,22551,2372400,130741,57.3,24.4,6.2,12,47.7,24.2,15,13.1,23.7,25.2,8.8,42.3
37,West Bengal,93945,18015525,576557,79.3,9.2,3.5,8.1,47,24.5,17,11.5,52.2,6.7,6.5,34.6
